Database,Phyla,Class,Order,Family,Species,Original Name,Meiosis Type,Ploidy,Female Diploid #,Male Diploid #,Achiasmy Sex,Sex Chromosome System,Notes,Sex Chrom Notes,Citation
Achiasmy,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa cognata,,achiasmatic,2,46,46,Male,XY,,,F. Ulerich. 1961. [Achiasmatic spermatogenesis in the scorpion fly Panorpa (Mecoptera)].. Chromosoma 12: 215-232
Achiasmy,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa communis,,achiasmatic,2,48,48,Male,XY,,,F. Ulerich. 1961. [Achiasmatic spermatogenesis in the scorpion fly Panorpa (Mecoptera)].. Chromosoma 12: 215-232
Achiasmy,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa dubia,,achiasmatic,2,42,42,Male,XY,,,"B. Xu. 2013. A chromosomal investigation of four species of Chinese Panorpidae (Insecta, Mecoptera).. Comp. Cytogenet. 23: 229-239"
Achiasmy,Arthropoda,Insecta,Mecoptera,Panorpidae,Panorpa emarginata,,achiasmatic,2,42,42,Male,XY,,,"B. Xu. 2013. A chromosomal investigation of four species of Chinese Panorpidae (Insecta, Mecoptera).. Comp. Cytogenet. 23: 229-239"
Achiasmy,Arthropoda,Insecta,Orthoptera,Staphylinidae,Whitea sp,,achiasmatic,2,40,40,Male,XY,,,M. White. 1965. Chiasmatic and achiasmatic meiosis in African Eumastacid grasshoppers. Chromosoma 16: 271-307
Achiasmy,Arthropoda,Insecta,Psocodea,Haematopinidae,Haematopinus suis,,achiasmatic,,20,20,Male,,,,"M. Tombesi. 1993. MEIOSIS IN HAEMATOPINUS-SUIS AND MENACANTHUS-STRAMINEUS (PHTHIRAPTERA, INSECTA). Hereditas 119(1): 31-38"
Achiasmy,Arthropoda,Insecta,Psocodea,Menoponidae,Menacanthus stramineus,,achiasmatic,,20,20,Male,,,,"M. Tombesi. 1993. MEIOSIS IN HAEMATOPINUS-SUIS AND MENACANTHUS-STRAMINEUS (PHTHIRAPTERA, INSECTA). Hereditas 119(1): 31-38"
Achiasmy,Arthropoda,Insecta,Trichoptera,Limnephilidae,Allogamus auricollis,,achiasmatic,2,62,62,Female,ZW,,,A. Burt. 1991. Sex differences in recombination. Journal of Evolutionary Biology 4(2): 259-277
Achiasmy,Arthropoda,Insecta,Trichoptera,Limnephilidae,Glyphotaelius pellucidus,,achiasmatic,2,62,62,Female,ZW,,,A. Burt. 1991. Sex differences in recombination. Journal of Evolutionary Biology 4(2): 259-277
Achiasmy,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus borealis,,achiasmatic,,,,Female,ZW,,,E. Suomalainen. 1966. Achiasmatische oogenese bei trichopteren. Chromosoma 18: 201-207
Achiasmy,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus decipiens,,achiasmatic,,,,Female,ZW,,,E. Suomalainen. 1966. Achiasmatische oogenese bei trichopteren. Chromosoma 18: 201-207
Achiasmy,Arthropoda,Insecta,Trichoptera,Limnephilidae,Limnephilus lunatus,,achiasmatic,2,52,52,Female,ZW,,,V. Lukhtanov. 2000. Sex chromatin and sex chromosome systems in nonditrysian Lepidoptera (Insecta). Journal of Zoological Systematics and evolutionary research 38: 73-79
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus hottentotus,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book (Bronner 1995a)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus hottentotus longiceps,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus hottentotus meesteri,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus hottentotus pondoliae,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus iris,,chiasmatic,2,34,34,,XY,,,Animal Karyotype Book (Capanna et al. 1989)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus julianae,,chiasmatic,2,31,31,,XY,,,Animal Karyotype Book (Bronner 1995a)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus robustus,,chiasmatic,2,36,36,,XY,,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Calcochloris obtusirostris,,chiasmatic,2,28,28,,XY,,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chlorotalpa duthieae,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book (Bronner 1995a)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chlorotalpa sclateri,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book (Bronner 1995a)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chrysochloris asiatica,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Robinson et al. 2004)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Chrysospalax trevelyani,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2006)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Cryptochloris zyli,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2006)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Eremitalpa granti,,chiasmatic,2,26,26,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2006)
Mammal,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Neamblysomus julianae,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al 2008)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Echinops telfairi,,chiasmatic,2,40,40,,XY,,,Animal Karyotype Book (Benirschke 1969)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Hemicentetes nigriceps,,chiasmatic,2,38,38,,XY,,,Animal Karyotype Book 2020 (Benirschke 1969)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale cowani,,chiasmatic,2,38,38,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale dobsoni,,chiasmatic,2,30,30,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale fotsifotsy,,chiasmatic,2,32,32,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale longicaudata,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale majori,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale parvula,,chiasmatic,2,32,32,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale principula,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale soricoides,,chiasmatic,2,32,32,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale taiva,,chiasmatic,2,32,32,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale thomasi,,chiasmatic,2,56,56,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Oryzorictes hova,,chiasmatic,2,32,32,,XY,,,Animal Karyotype Book 2020 (Gilbert et al. 2007)
Mammal,Chordata,Mammalia,Afrosoricida,Tenrecidae,Tenrec eucadatus,,chiasmatic,2,38,38,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra americana,,chiasmatic,2,58,58,,XY,,,Blackmon (Kulemzina et al. 2009)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenidae,Balena mysticetus,,chiasmatic,2,42,42,,XY,,,Animal Karyotype Book (Jarelle 1979)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera acutorostrata,,chiasmatic,2,44,44,,XY,,,Blackmon (Arnason 1981a)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera borealis,,chiasmatic,2,44,44,,XY,,,Blackmon (Nash (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera musculus,,chiasmatic,2,44,44,,XY,,,Animal Karyotype Book (Arnason and Widegren 1989)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera physalus,,chiasmatic,2,44,44,,XY,,,Blackmon (Arnason 1974a)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Balaenoptera physalus,,chiasmatic,2,42,42,,XY,,,Animal Karyotype Book (Arnason 1974a)
Mammal,Chordata,Mammalia,Artiodactyla,Balaenopteridae,Megaptera novaeangliae,,chiasmatic,2,44,44,,XY,,,Animal Karyotype Book (Arnason 1974a)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Addax nasomaculatus,,chiasmatic,2,58,58,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros melampus,,chiasmatic,2,60,60,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros melampus petersi,,chiasmatic,2,58-60,58-60,,XY,,,Animal Karyotype Book (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Alcephalus buselaphus jacksoni,,chiasmatic,2,40,40,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Alcephalus busephalus,,chiasmatic,2,40,40,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus lervia,,chiasmatic,2,58,58,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Anoa depressicornis depressicornis,,chiasmatic,2,48,48,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas marsupialis,,chiasmatic,2,56,56,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope cervicapra,,chiasmatic,2,30-33,30-33,,XY,,,Animal Karyotype Book (Cerohorska et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bison bison,,chiasmatic,2,60,60,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bison bonasus,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos frontalis (gaurus),,chiasmatic,2,58,58,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos frontalis (gayal),,chiasmatic,2,58,58,,XY,,,Animal Karyotype Book 2020 (Chi et al. 2005a)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos grunniens,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (Craphodatsky and Biltueva (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos indicus,,chiasmatic,2,60,60,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos javanicus,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bos taurus,,chiasmatic,2,60,60,,XY,,,Blackmon (Hayes et al. 1995)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Boselaphus tragocamelus,,chiasmatic,2,46,46,,XY,,rujuvenation of autosome 14 o sex chromosomes,Blackmon (Gallagher et al. 1998)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus bubalis,,chiasmatic,2,50,50,,XY,,,Blackmon (Iannuzzi 1994)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus depressicornis,,chiasmatic,2,48,48,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas taxicolor,,chiasmatic,2,52,52,,XY,,,Animal Karyotype Book (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra cylindricornis,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra hircus,,chiasmatic,2,60,60,,XY,,,Blackmon (Biltueva and Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra hircus aegagrus,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra hircus hircus,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book 2020 (Biltueva and Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra ibex,,chiasmatic,2,60,60,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capra pyrenaica hispanica,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis crispus,,chiasmatic,2,50,50,,XY,,,Blackmon (Biltueva et al. (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis sumatraensis,,chiasmatic,2,48,48,,XY,,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus dorsalis,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus monticola,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus niger,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus rufilatus,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus silvicultor,,chiasmatic,2,60,60,,XY,,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes gnou,,chiasmatic,2,58,58,,XY,,,Blackmon (Rubes et al.2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes taurinus,,chiasmatic,2,58,58,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes taurinus albojubatus,,chiasmatic,2,58,58,,XY,,,Animal Karyotype Book (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus dorcas phillipsi,,chiasmatic,2,38,38,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus hunteri,,chiasmatic,2,44,44,,XY,,,Animal Karyotype Book (Kumamoto et al. 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus lunatus topi,,chiasmatic,2,36,36,,XY,,,Animal Karyotype Book (Kumamoto et al. 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus pygargus phillipsi,,chiasmatic,2,38,38,,XY,,,Animal Karyotype Book (Kumamoto et al. 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella bennettii,,chiasmatic,2,49-52,49-52,,XY,,,Animal Karyotype Book (Kumamoto et al. 1995)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella cuvieri,,chiasmatic,2,32,33,,complex XY,,"X/A, X/A/Y",Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella dama mhorr,,chiasmatic,2,38-40,38-40,,complex XY,,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book (Cernohorska et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella dama ruficollis,,chiasmatic,2,38-40,38-40,,complex XY,,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book (Cernohorska et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella dorcas,,chiasmatic,2,30,31,,complex XY,,XY1Y2,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella gazella,,chiasmatic,2,34,35,,complex XY,,XY1Y2,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella granti,,chiasmatic,2,30,31,,complex XY,,XY1Y2,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella granti roosevelti,,chiasmatic,2,30,31,,complex XY,,"X/A, Y; rujuvenation of autosome to X-chromosome",Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella leptoceros,,chiasmatic,2,32,33,,complex XY,,XY1Y2,Blackmon (Cernohorska et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella rufifrons laevipes,,chiasmatic,2,58,58,,XY,,rujuvenation of autosome to sex chromosomes,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella saudiya,,chiasmatic,2,46-53,46-53,,XY,,,Animal Karyotype Book (Kumamoto et al. 1995)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella soemmerringii,,chiasmatic,2,34-39,34-39,,complex XY,,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella spekei,,chiasmatic,2,32,33,,complex XY,,XY1Y2,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella subgutturosa,,chiasmatic,2,30,31,,complex XY,,XY1Y2,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella subgutturosa marica,,chiasmatic,2,30-32,31-33,,complex XY,,,Animal Karyotype Book (Kingswoo and Blank 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella subgutturosa subgutturosa,,chiasmatic,2,32,31,,complex XY,,"X/A, X/A/Y",Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella thomsonii,,chiasmatic,2,58,58,,XY,,rujuvenation of autosome to sex chromosomes,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus jemlahicus,,chiasmatic,2,48,48,,XY,,,Blackmon (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus equinus,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus niger,,chiasmatic,2,60,60,,XY,,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus ellipsiprymnus defassa,,chiasmatic,2,53-54,53-54,,XY,,,Animal Karyotype Book (Kingswood et al. 1998a)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus ellipsiprymnus ellipsiprymnus,,chiasmatic,2,50-52,50-52,,XY,,,Animal Karyotype Book (Kingswood et al. 1998a)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus kob,,chiasmatic,2,50,50,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus kob thomasi,,chiasmatic,2,50,50,,XY,,,Animal Karyotype Book (Kingswood et al. 2000)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus leche,,chiasmatic,2,48,48,,XY,,,Animal Karyotype Book (Kingswood et al. 2000)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus megaceros,,chiasmatic,2,52,52,,XY,,,Animal Karyotype Book (Kingswood et al. 2000)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua guentheri,,chiasmatic,2,48-50,48-50,,XY,,,Animal Karyotype Book (Kingswood and Kumamoto 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua kirkii,,chiasmatic,2,46-48,46-48,,XY,,,Animal Karyotype Book (Kingswood and Kumamoto 1996)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus baileyi cranbrooki,,chiasmatic,2,56,56,,XY,,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus goral,,chiasmatic,2,56,56,,XY,,,Animal Karyotype Book (Biltueva and Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus goral,,chiasmatic,2,55,55,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Neotragus moschatus,,chiasmatic,2,52-56,52-56,,XY,,,Animal Karyotype Book (Kingswood et al. 1998b)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oreamnos americanus,,chiasmatic,2,42,42,,XY,,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oreotragus oreotragus stevensoni,,chiasmatic,2,60,60,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx beisa beisa,,chiasmatic,2,58,58,,XY,,,Animal Karyotype Book 2020 (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx beisa callotis,,chiasmatic,2,58,58,,XY,,,Animal Karyotype Book 2020 (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx dammah,,chiasmatic,2,56-58,56-58,,XY,,,Animal Karyotype Book (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella,,chiasmatic,2,56,56,,XY,,,Animal Karyotype Book 2020 (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella beisa,,chiasmatic,2,58,58,,XY,,,Animal Karyotype Book (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella callotis,,chiasmatic,2,58,58,,XY,,,Animal Karyotype Book (Kumamoto et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx gazella gazella,,chiasmatic,2,56,56,,XY,,,Blackmon (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx leucoryx,,chiasmatic,2,57-58,57-58,,XY,,,Animal Karyotype Book (Rubes et al. 2012)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovibos moschatus,,chiasmatic,2,48,48,,XY,,,Blackmon (Biltueva and Graphodatsky (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis ammon,,chiasmatic,2,56,56,,XY,,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis ammon nigrimontana,,chiasmatic,2,56,56,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries,,chiasmatic,2,54,54,,XY,,,Blackmon (Cribiu et al. 2001)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries aries,,chiasmatic,2,54,54,,XY,,,Animal Karyotype Book 2020 (Iannuzzi et al. 1999)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries musimon,,chiasmatic,2,54,54,,XY,,,Animal Karyotype Book 2020 (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries orientalis,,chiasmatic,2,54,54,,XY,,,Animal Karyotype Book 2020 (Proskuryakova and Beklemisheva (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis canadensis,,chiasmatic,2,54,54,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis nivcola,,chiasmatic,2,52,52,,XY,,,Animal Karyotype Book 2020 (Huang et al. 2005)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis orientalis,,chiasmatic,2,54,54,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis orientalis musimon,,chiasmatic,2,54,54,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Pelea capreolus,,chiasmatic,2,56,56,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois nayaur szechuanensis,,chiasmatic,2,56,56,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois schaeferi,,chiasmatic,2,54,54,,XY,,,Animal Karyotype Book 2020 (Veterinary Research Institute Brno (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudoryx nghetinhensis,,chiasmatic,2,50,50,,XY,,,Animal Karyotype Book 2020 (Kulemzina et al. 2014)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus campestris,,chiasmatic,2,30,30,,XY,,,Animal Karyotype Book (CRES San Diego (Unpublished))
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca fulvorufula,,chiasmatic,2,56-57,56-57,,XY,,chrom rearrangements,Animal Karyotype Book 2020 (Rubes et al. 2007)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Rupricapra rupicapra,,chiasmatic,2,58,58,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus caffer,,chiasmatic,2,54-56,54-56,,XY,,chrom rearrangements,Animal Karyotype Book (Ropiquet et al. 2010)
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus caffer,,chiasmatic,2,52,52,,XY,,,Blackmon et. al. 2019
Mammal,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus derbianus,,chiasmatic,2,32,31,,complex XY,,"X/X, X/Y/A",Animal Karyotype Book (Rubes et al. 2008)
